dim,batch,lr,projector,raw_val_mr,cal_val_mr
100,131072,0.0001,owl2vecstar,2416.530717,1324.426621
100,131072,0.0001,owl2vecstar_gda,2408.792662,1211.430034
100,131072,0.001,owl2vecstar,2033.783276,830.827645
100,131072,0.001,owl2vecstar_gda,2077.614334,821.267918
100,131072,0.01,owl2vecstar,2053.089590,826.189420
100,131072,0.01,owl2vecstar_gda,2057.998294,868.066553
100,16384,0.0001,owl2vecstar,2091.010239,856.974403
100,16384,0.0001,owl2vecstar_gda,2121.641638,847.464164
100,16384,0.001,owl2vecstar,2011.235495,822.387372
100,16384,0.001,owl2vecstar_gda,2012.061433,812.928328
100,16384,0.01,owl2vecstar,2102.941980,928.832765
100,16384,0.01,owl2vecstar_gda,2089.262799,900.035836
100,32768,0.0001,owl2vecstar,2158.977816,960.745734
100,32768,0.0001,owl2vecstar_gda,2177.860068,917.284983
100,32768,0.001,owl2vecstar,2046.331058,797.005119
100,32768,0.001,owl2vecstar_gda,1999.684300,783.812287
100,32768,0.01,owl2vecstar,2127.870307,944.090444
100,32768,0.01,owl2vecstar_gda,2108.385666,875.503413
100,65536,0.0001,owl2vecstar,2256.529863,1080.418089
100,65536,0.0001,owl2vecstar_gda,2292.812287,966.431741
100,65536,0.001,owl2vecstar,2015.358362,789.919795
100,65536,0.001,owl2vecstar_gda,2003.672355,743.035836
100,65536,0.01,owl2vecstar,1934.952218,890.537543
100,65536,0.01,owl2vecstar_gda,2081.807167,845.192833
200,131072,0.0001,owl2vecstar,2020.736348,900.042662
200,131072,0.0001,owl2vecstar_gda,2094.336177,890.192833
200,131072,0.001,owl2vecstar,2050.829352,809.890785
200,131072,0.001,owl2vecstar_gda,2062.914676,812.474403
200,131072,0.01,owl2vecstar,2095.108362,875.564846
200,131072,0.01,owl2vecstar_gda,2120.793515,849.906143
200,16384,0.0001,owl2vecstar,2106.151877,762.827645
200,16384,0.0001,owl2vecstar_gda,2098.924915,778.430034
200,16384,0.001,owl2vecstar,2020.627986,843.090444
200,16384,0.001,owl2vecstar_gda,2028.011945,836.390785
200,16384,0.01,owl2vecstar,2274.145051,1033.293515
200,16384,0.01,owl2vecstar_gda,2268.991468,1029.827645
200,32768,0.0001,owl2vecstar,2106.699659,784.242321
200,32768,0.0001,owl2vecstar_gda,2091.815700,793.148464
200,32768,0.001,owl2vecstar,2028.324232,826.725256
200,32768,0.001,owl2vecstar_gda,2044.327645,782.849829
200,32768,0.01,owl2vecstar,2203.943686,920.197952
200,32768,0.01,owl2vecstar_gda,2196.785836,924.877133
200,65536,0.0001,owl2vecstar,2049.970990,804.979522
200,65536,0.0001,owl2vecstar_gda,2064.639078,836.136519
200,65536,0.001,owl2vecstar,2072.416382,837.421502
200,65536,0.001,owl2vecstar_gda,2058.447099,797.083618
200,65536,0.01,owl2vecstar,2146.992321,883.829352
200,65536,0.01,owl2vecstar_gda,2125.505119,913.040956
400,131072,0.0001,owl2vecstar,2164.938567,861.675768
400,131072,0.0001,owl2vecstar_gda,2154.593003,870.680887
400,131072,0.001,owl2vecstar,2063.402730,773.339590
400,131072,0.001,owl2vecstar_gda,2070.779863,778.436860
400,131072,0.01,owl2vecstar,2152.387372,936.692833
400,131072,0.01,owl2vecstar_gda,2122.182594,889.116041
400,16384,0.0001,owl2vecstar,2091.377133,843.104096
400,16384,0.0001,owl2vecstar_gda,2079.737201,854.498294
400,16384,0.001,owl2vecstar,2046.254266,863.515358
400,16384,0.001,owl2vecstar_gda,2063.580205,818.237201
400,16384,0.01,owl2vecstar,2408.078498,1098.136519
400,16384,0.01,owl2vecstar_gda,2385.721843,1148.180887
400,32768,0.0001,owl2vecstar,2105.011945,843.290102
400,32768,0.0001,owl2vecstar_gda,2085.999147,850.853242
400,32768,0.001,owl2vecstar,2039.098976,843.711604
400,32768,0.001,owl2vecstar_gda,2047.404437,852.440273
400,32768,0.01,owl2vecstar,2282.232082,991.831058
400,32768,0.01,owl2vecstar_gda,2276.187713,1021.587031
400,65536,0.0001,owl2vecstar,2125.785836,864.148464
400,65536,0.0001,owl2vecstar_gda,2131.860068,851.547782
400,65536,0.001,owl2vecstar,2059.302901,806.052901
400,65536,0.001,owl2vecstar_gda,2095.107509,829.269625
400,65536,0.01,owl2vecstar,2221.447099,944.747440
400,65536,0.01,owl2vecstar_gda,2197.124573,934.901024
800,131072,0.0001,owl2vecstar,2104.102389,724.587031
800,131072,0.0001,owl2vecstar_gda,2108.865188,763.399317
800,131072,0.001,owl2vecstar,2096.276451,779.295222
800,131072,0.001,owl2vecstar_gda,2051.392491,776.121160
800,131072,0.01,owl2vecstar,2186.230375,902.083618
800,131072,0.01,owl2vecstar_gda,2103.329352,925.462457
800,16384,0.0001,owl2vecstar,2094.899317,755.955631
800,16384,0.0001,owl2vecstar_gda,2099.208191,766.006826
800,16384,0.001,owl2vecstar,2061.267065,814.337884
800,16384,0.001,owl2vecstar_gda,2080.837031,854.525597
800,16384,0.01,owl2vecstar,2310.913823,1358.254266
800,16384,0.01,owl2vecstar_gda,2271.677474,1334.658703
800,32768,0.0001,owl2vecstar,2089.834471,764.267918
800,32768,0.0001,owl2vecstar_gda,2086.261092,757.334471
800,32768,0.001,owl2vecstar,2062.308874,819.271331
800,32768,0.001,owl2vecstar_gda,2039.665529,754.776451
800,32768,0.01,owl2vecstar,2379.472696,1293.163823
800,32768,0.01,owl2vecstar_gda,2375.170648,1107.918089
800,65536,0.0001,owl2vecstar,2093.005973,733.691126
800,65536,0.0001,owl2vecstar_gda,2093.261092,754.428328
800,65536,0.001,owl2vecstar,2087.281570,787.354949
800,65536,0.001,owl2vecstar_gda,2066.030717,772.718430
800,65536,0.01,owl2vecstar,2055.893345,904.993174
800,65536,0.01,owl2vecstar_gda,2068.370307,920.288396
