method	definition	setting	stratum	folds	pool	MR_mean	MR_sd	MRR_mean	MRR_sd	H@1_mean	H@1_sd	H@3_mean	H@3_sd	H@10_mean	H@10_sd	H@100_mean	H@100_sd	AUC_mean	AUC_sd
LinkGDA-pfs_owl2vecstar	graph_dump	calibrated	zero overlap	10	4399	755.383794	48.428774	0.039749	0.006783	0.011433	0.005054	0.033048	0.008818	0.089485	0.016904	0.366462	0.023485	0.828471	0.011012
LinkGDA-pfs_owl2vecstar	graph_dump	calibrated	some overlap	10	4399	282.815595	24.148145	0.063141	0.016967	0.023401	0.014619	0.053649	0.022414	0.126721	0.022286	0.518209	0.044058	0.935922	0.005491
LinkGDA-pfs_owl2vecstar	graph_dump	calibrated	all	10	4399	601.595391	37.490029	0.047165	0.007572	0.015185	0.006082	0.039481	0.010055	0.101383	0.014273	0.415369	0.019472	0.863439	0.008524
LinkGDA-pfs_owl2vecstar_gda	graph_dump	calibrated	zero overlap	10	4399	746.982128	53.088925	0.040511	0.007104	0.011632	0.005089	0.034134	0.010396	0.092548	0.014092	0.360714	0.028677	0.830382	0.012071
LinkGDA-pfs_owl2vecstar_gda	graph_dump	calibrated	some overlap	10	4399	283.728573	26.206031	0.062882	0.012699	0.023534	0.012232	0.054266	0.011972	0.127148	0.021981	0.509024	0.037921	0.935714	0.005959
LinkGDA-pfs_owl2vecstar_gda	graph_dump	calibrated	all	10	4399	596.307607	44.043010	0.047673	0.006443	0.015423	0.005289	0.040569	0.007481	0.103601	0.013038	0.408654	0.024017	0.864641	0.010014
INDIGENA_owl2vecstar	graph_dump	calibrated	zero overlap	10	4399	799.324631	71.158051	0.051173	0.009068	0.016458	0.006871	0.047404	0.012019	0.115006	0.015444	0.382355	0.023628	0.818480	0.016180
INDIGENA_owl2vecstar	graph_dump	calibrated	some overlap	10	4399	410.042035	45.328604	0.084827	0.018397	0.034760	0.017906	0.078315	0.019827	0.182391	0.027809	0.562863	0.031534	0.906994	0.010307
INDIGENA_owl2vecstar	graph_dump	calibrated	all	10	4399	673.206925	58.132502	0.062033	0.009188	0.022377	0.007165	0.057355	0.011100	0.136702	0.016689	0.440685	0.019052	0.847156	0.013218
INDIGENA_owl2vecstar_gda	graph_dump	calibrated	zero overlap	10	4399	794.127450	62.164063	0.050749	0.009232	0.015813	0.006103	0.047083	0.011923	0.117557	0.020515	0.380337	0.030730	0.819662	0.014135
INDIGENA_owl2vecstar_gda	graph_dump	calibrated	some overlap	10	4399	400.196967	38.902320	0.085160	0.014402	0.033556	0.012090	0.084981	0.020365	0.180998	0.025503	0.567739	0.038763	0.909232	0.008845
INDIGENA_owl2vecstar_gda	graph_dump	calibrated	all	10	4399	666.391717	45.599822	0.061793	0.008280	0.021563	0.006808	0.059087	0.009865	0.137753	0.013745	0.440878	0.022913	0.848706	0.010368
ULTRA-pfs-zeroshot_owl2vecstar	graph_dump	calibrated	zero overlap	10	4399	1115.924986	60.160674	0.065677	0.004801	0.031828	0.003261	0.066468	0.008377	0.128968	0.010896	0.355141	0.018482	0.746493	0.013679
ULTRA-pfs-zeroshot_owl2vecstar	graph_dump	calibrated	some overlap	10	4399	205.165501	17.842149	0.092529	0.013251	0.033324	0.013778	0.086009	0.019660	0.213447	0.027407	0.655294	0.041799	0.953578	0.004057
ULTRA-pfs-zeroshot_owl2vecstar	graph_dump	calibrated	all	10	4399	819.531366	51.416367	0.074315	0.005053	0.032295	0.003710	0.072662	0.008924	0.156306	0.012615	0.452725	0.018076	0.813886	0.011691
ULTRA-pfs-zeroshot_owl2vecstar_gda	graph_dump	calibrated	zero overlap	10	4399	1055.610916	53.773021	0.049999	0.002915	0.019388	0.006624	0.046054	0.005287	0.107663	0.012819	0.339963	0.016125	0.760207	0.012227
ULTRA-pfs-zeroshot_owl2vecstar_gda	graph_dump	calibrated	some overlap	10	4399	215.639377	16.761775	0.081939	0.011806	0.025445	0.009666	0.073950	0.015321	0.193574	0.027192	0.624213	0.041490	0.951196	0.003811
ULTRA-pfs-zeroshot_owl2vecstar_gda	graph_dump	calibrated	all	10	4399	782.241750	47.173944	0.060335	0.004578	0.021349	0.004701	0.055020	0.006871	0.135437	0.011955	0.432339	0.016412	0.822364	0.010726
Resnik-BMA	graph_dump	calibrated	zero overlap	10	4399	1122.235282	80.495734	0.040238	0.009577	0.015737	0.006976	0.035578	0.013730	0.083833	0.016045	0.288058	0.034493	0.745058	0.018303
Resnik-BMA	graph_dump	calibrated	some overlap	10	4399	800.188705	83.877232	0.048630	0.012519	0.017166	0.010077	0.044261	0.019113	0.106478	0.023798	0.388313	0.047451	0.818284	0.019072
Resnik-BMA	graph_dump	calibrated	all	10	4399	1017.755596	67.268585	0.042878	0.008501	0.016159	0.006258	0.038313	0.012876	0.091121	0.013429	0.320095	0.024812	0.768814	0.015295
Resnik-BMM	graph_dump	calibrated	zero overlap	10	4399	1190.783686	74.125659	0.029310	0.006124	0.011054	0.004010	0.024695	0.007637	0.059660	0.009668	0.225356	0.031700	0.729472	0.016854
Resnik-BMM	graph_dump	calibrated	some overlap	10	4399	894.997970	98.885804	0.041141	0.011393	0.014070	0.009920	0.037150	0.015246	0.087675	0.027271	0.309965	0.054278	0.796726	0.022484
Resnik-BMM	graph_dump	calibrated	all	10	4399	1095.588667	57.247977	0.033110	0.005704	0.011992	0.004213	0.028748	0.008101	0.068689	0.008581	0.252343	0.018640	0.751117	0.013017
Lin-BMA	graph_dump	calibrated	zero overlap	10	4399	1122.113867	86.900235	0.037351	0.009764	0.013719	0.006855	0.032661	0.012211	0.075663	0.017968	0.279199	0.037453	0.745086	0.019759
Lin-BMA	graph_dump	calibrated	some overlap	10	4399	796.533121	74.875333	0.042203	0.008764	0.013027	0.005878	0.035554	0.012391	0.091656	0.020804	0.381690	0.047075	0.819115	0.017025
Lin-BMA	graph_dump	calibrated	all	10	4399	1016.449540	69.903838	0.038826	0.007152	0.013448	0.005124	0.033495	0.009016	0.080729	0.012299	0.312051	0.025665	0.769111	0.015894
Lin-BMM	graph_dump	calibrated	zero overlap	10	4399	1188.062393	84.291613	0.027662	0.005306	0.009217	0.002238	0.022615	0.006664	0.059274	0.013416	0.217319	0.031415	0.730090	0.019166
Lin-BMM	graph_dump	calibrated	some overlap	10	4399	898.783827	97.293317	0.037217	0.010284	0.012130	0.007429	0.031054	0.015924	0.079465	0.024824	0.309551	0.043373	0.795865	0.022122
Lin-BMM	graph_dump	calibrated	all	10	4399	1095.117647	64.927496	0.030746	0.004078	0.010159	0.002435	0.025391	0.007300	0.065785	0.009993	0.247074	0.016672	0.751224	0.014763
SimGIC	graph_dump	calibrated	zero overlap	10	4399	1405.499400	76.853802	0.027601	0.005733	0.010256	0.004326	0.025323	0.005781	0.055938	0.013498	0.203511	0.027991	0.680650	0.017475
SimGIC	graph_dump	calibrated	some overlap	10	4399	1098.527432	111.285008	0.038387	0.008723	0.013926	0.007663	0.038908	0.014548	0.075632	0.009983	0.275206	0.026978	0.750449	0.025304
SimGIC	graph_dump	calibrated	all	10	4399	1306.046998	75.791450	0.031115	0.004822	0.011468	0.003427	0.029829	0.006775	0.062255	0.008735	0.226361	0.017742	0.703264	0.017233
Exomiser-Phive	graph_dump	calibrated	zero overlap	10	4399	1266.444482	86.943093	0.015465	0.004116	0.004961	0.003233	0.010231	0.004776	0.026065	0.009412	0.174494	0.023148	0.712268	0.019769
Exomiser-Phive	graph_dump	calibrated	some overlap	10	4399	1026.062734	61.944414	0.011224	0.002644	0.000873	0.001842	0.005563	0.004064	0.017738	0.005785	0.190766	0.039338	0.766925	0.014085
Exomiser-Phive	graph_dump	calibrated	all	10	4399	1188.555587	62.585662	0.014071	0.002475	0.003644	0.002013	0.008682	0.002924	0.023301	0.005986	0.179632	0.021917	0.729978	0.014230
