method	definition	setting	stratum	folds	pool	MR_mean	MR_sd	MRR_mean	MRR_sd	H@1_mean	H@1_sd	H@3_mean	H@3_sd	H@10_mean	H@10_sd	H@100_mean	H@100_sd	AUC_mean	AUC_sd
LinkGDA-p_owl2vecstar	train_csv	calibrated	zero overlap	10	4399	1178.572868	168.146719	0.034665	0.007419	0.008991	0.003992	0.025942	0.007929	0.080907	0.025207	0.346854	0.024123	0.732248	0.038233
LinkGDA-p_owl2vecstar	train_csv	calibrated	some overlap	10	4399	539.406295	63.056704	0.044364	0.009311	0.017828	0.008476	0.035086	0.009733	0.085563	0.017829	0.377835	0.046262	0.877579	0.014338
LinkGDA-p_owl2vecstar	train_csv	calibrated	all	10	4399	895.950657	98.147595	0.038896	0.005336	0.012867	0.004261	0.029923	0.006797	0.082848	0.016751	0.360181	0.016465	0.796510	0.022316
LinkGDA-p_owl2vecstar	train_csv	raw	zero overlap	10	4399	3267.801947	65.193028	0.000974	0.000406	0.000000	0.000000	0.000000	0.000000	0.001360	0.001887	0.013937	0.009672	0.257207	0.014823
LinkGDA-p_owl2vecstar	train_csv	raw	some overlap	10	4399	817.103331	72.500808	0.053183	0.010824	0.025957	0.010050	0.052068	0.014425	0.104838	0.014213	0.296654	0.031890	0.814438	0.016485
LinkGDA-p_owl2vecstar	train_csv	raw	all	10	4399	2186.039975	61.348479	0.023980	0.004595	0.011400	0.004222	0.022959	0.006258	0.046979	0.006650	0.138642	0.015596	0.503174	0.013949
LinkGDA-p_owl2vecstar_gda	train_csv	calibrated	zero overlap	10	4399	1048.302292	123.487474	0.046774	0.013902	0.017203	0.010187	0.042550	0.016053	0.096101	0.032438	0.357157	0.044993	0.761869	0.028078
LinkGDA-p_owl2vecstar_gda	train_csv	calibrated	some overlap	10	4399	528.678425	69.305357	0.035409	0.009678	0.011193	0.009038	0.027539	0.011663	0.070894	0.015125	0.371332	0.037907	0.880019	0.015758
LinkGDA-p_owl2vecstar_gda	train_csv	calibrated	all	10	4399	819.195863	79.421259	0.041664	0.007464	0.014503	0.006665	0.035787	0.009025	0.084770	0.014918	0.363272	0.018160	0.813962	0.018058
LinkGDA-p_owl2vecstar_gda	train_csv	raw	zero overlap	10	4399	3319.647868	77.630589	0.001261	0.000814	0.000000	0.000000	0.000818	0.001320	0.001637	0.002640	0.012966	0.007584	0.245419	0.017651
LinkGDA-p_owl2vecstar_gda	train_csv	raw	some overlap	10	4399	784.940556	62.589846	0.050687	0.009017	0.020839	0.009178	0.051593	0.012191	0.104954	0.018211	0.317047	0.031603	0.821751	0.014231
LinkGDA-p_owl2vecstar_gda	train_csv	raw	all	10	4399	2200.936409	83.065081	0.023052	0.003713	0.009150	0.003846	0.023251	0.005241	0.047167	0.007626	0.147268	0.016390	0.499787	0.018887
LinkGDA-ps_owl2vecstar	train_csv	calibrated	zero overlap	10	4399	1011.207937	86.695263	0.024778	0.006040	0.008038	0.005860	0.018622	0.006751	0.047955	0.009905	0.263577	0.023611	0.770303	0.019712
LinkGDA-ps_owl2vecstar	train_csv	calibrated	some overlap	10	4399	482.540024	54.954755	0.050493	0.008144	0.019395	0.007107	0.040741	0.011861	0.104044	0.013806	0.441804	0.042011	0.890509	0.012495
LinkGDA-ps_owl2vecstar	train_csv	calibrated	all	10	4399	778.162526	54.262293	0.036122	0.005375	0.013032	0.005398	0.028404	0.006009	0.072722	0.007987	0.342119	0.017837	0.823292	0.012338
LinkGDA-ps_owl2vecstar	train_csv	raw	zero overlap	10	4399	2966.748472	75.210199	0.001207	0.000364	0.000000	0.000000	0.000000	0.000000	0.000832	0.001341	0.020043	0.010696	0.325660	0.017101
LinkGDA-ps_owl2vecstar	train_csv	raw	some overlap	10	4399	712.711326	72.929154	0.054721	0.009566	0.024824	0.008907	0.052594	0.011127	0.109345	0.016967	0.337532	0.042133	0.838174	0.016582
LinkGDA-ps_owl2vecstar	train_csv	raw	all	10	4399	1972.060847	85.504214	0.024865	0.004543	0.010993	0.003995	0.023232	0.005040	0.048769	0.008403	0.160381	0.022904	0.551828	0.019442
LinkGDA-ps_owl2vecstar_gda	train_csv	calibrated	zero overlap	10	4399	1022.351495	72.262546	0.025160	0.007056	0.007377	0.006075	0.017096	0.008768	0.051830	0.014762	0.269967	0.031412	0.767769	0.016431
LinkGDA-ps_owl2vecstar_gda	train_csv	calibrated	some overlap	10	4399	480.837728	48.679531	0.048453	0.007846	0.016528	0.007873	0.041628	0.008734	0.094501	0.015248	0.427777	0.030312	0.890896	0.011069
LinkGDA-ps_owl2vecstar_gda	train_csv	calibrated	all	10	4399	783.581420	50.808645	0.035506	0.005893	0.011442	0.004899	0.028052	0.006395	0.070729	0.013301	0.339471	0.021864	0.822060	0.011553
LinkGDA-ps_owl2vecstar_gda	train_csv	raw	zero overlap	10	4399	2967.388733	73.504415	0.001181	0.000382	0.000000	0.000000	0.000000	0.000000	0.001067	0.001889	0.018900	0.008368	0.325514	0.016713
LinkGDA-ps_owl2vecstar_gda	train_csv	raw	some overlap	10	4399	753.512618	62.399509	0.046630	0.007652	0.018236	0.006490	0.043774	0.007985	0.096258	0.012682	0.306160	0.040020	0.828897	0.014188
LinkGDA-ps_owl2vecstar_gda	train_csv	raw	all	10	4399	1990.517149	77.437290	0.021273	0.003547	0.008079	0.002980	0.019352	0.003837	0.043044	0.005126	0.145873	0.020662	0.547631	0.017607
LinkGDA-pf_owl2vecstar	train_csv	calibrated	zero overlap	10	4399	840.858152	54.693643	0.047046	0.011682	0.015719	0.005446	0.039673	0.015881	0.101069	0.035982	0.371573	0.053304	0.809036	0.012436
LinkGDA-pf_owl2vecstar	train_csv	calibrated	some overlap	10	4399	453.840831	55.033316	0.041972	0.007462	0.013526	0.006360	0.033912	0.008877	0.083299	0.016240	0.412033	0.048437	0.897035	0.012513
LinkGDA-pf_owl2vecstar	train_csv	calibrated	all	10	4399	670.287261	41.828176	0.044811	0.006891	0.014743	0.002500	0.037155	0.010544	0.093234	0.022803	0.389318	0.034329	0.847820	0.009511
LinkGDA-pf_owl2vecstar	train_csv	raw	zero overlap	10	4399	2896.691141	111.333974	0.001686	0.000670	0.000000	0.000000	0.000283	0.000896	0.002993	0.002749	0.026061	0.011135	0.341589	0.025315
LinkGDA-pf_owl2vecstar	train_csv	raw	some overlap	10	4399	733.675553	79.679268	0.051250	0.012563	0.022428	0.012409	0.047693	0.015891	0.103995	0.019697	0.324291	0.030363	0.833407	0.018117
LinkGDA-pf_owl2vecstar	train_csv	raw	all	10	4399	1941.935106	97.295972	0.023575	0.005702	0.009885	0.005328	0.021275	0.007473	0.047575	0.009554	0.157803	0.019443	0.558678	0.022123
LinkGDA-pf_owl2vecstar_gda	train_csv	calibrated	zero overlap	10	4399	762.188950	77.991909	0.058849	0.012042	0.022789	0.010318	0.057006	0.014278	0.123813	0.021861	0.414024	0.031606	0.826924	0.017733
LinkGDA-pf_owl2vecstar_gda	train_csv	calibrated	some overlap	10	4399	426.391971	57.886579	0.046913	0.008820	0.016735	0.007988	0.036046	0.012657	0.090894	0.018509	0.428218	0.041130	0.903276	0.013162
LinkGDA-pf_owl2vecstar_gda	train_csv	calibrated	all	10	4399	614.373027	52.172565	0.053568	0.009557	0.020094	0.007938	0.047769	0.011718	0.109346	0.017527	0.420069	0.026353	0.860534	0.011863
LinkGDA-pf_owl2vecstar_gda	train_csv	raw	zero overlap	10	4399	2865.770494	56.492520	0.002121	0.001484	0.000549	0.001158	0.000832	0.001889	0.001926	0.001884	0.026496	0.010868	0.348620	0.012845
LinkGDA-pf_owl2vecstar_gda	train_csv	raw	some overlap	10	4399	719.098070	73.556039	0.057210	0.011776	0.024843	0.009824	0.058067	0.011950	0.112376	0.022769	0.329515	0.033686	0.836722	0.016725
LinkGDA-pf_owl2vecstar_gda	train_csv	raw	all	10	4399	1918.336474	73.660446	0.026441	0.005634	0.011274	0.004743	0.026131	0.005925	0.050664	0.009645	0.160241	0.017977	0.564044	0.016749
LinkGDA-pfs_owl2vecstar	train_csv	calibrated	zero overlap	10	4399	753.531532	52.492789	0.040926	0.008316	0.012131	0.006574	0.033293	0.011693	0.091568	0.016957	0.377784	0.029656	0.828892	0.011936
LinkGDA-pfs_owl2vecstar	train_csv	calibrated	some overlap	10	4399	408.802998	57.267328	0.055249	0.013062	0.019201	0.010753	0.047631	0.018696	0.113879	0.021935	0.463481	0.039592	0.907275	0.013021
LinkGDA-pfs_owl2vecstar	train_csv	calibrated	all	10	4399	601.595391	37.490029	0.047165	0.007572	0.015185	0.006082	0.039481	0.010055	0.101383	0.014273	0.415369	0.019472	0.863439	0.008524
LinkGDA-pfs_owl2vecstar	train_csv	raw	zero overlap	10	4399	2690.611023	50.708248	0.001741	0.000401	0.000000	0.000000	0.000000	0.000000	0.002751	0.001898	0.027768	0.008240	0.388447	0.011530
LinkGDA-pfs_owl2vecstar	train_csv	raw	some overlap	10	4399	641.555173	64.014648	0.058407	0.010204	0.024926	0.007718	0.056011	0.012703	0.118481	0.018029	0.348397	0.033940	0.854353	0.014555
LinkGDA-pfs_owl2vecstar	train_csv	raw	all	10	4399	1786.247714	65.884236	0.026704	0.004274	0.010969	0.003343	0.024703	0.005588	0.053684	0.006983	0.169341	0.019369	0.594077	0.014980
LinkGDA-pfs_owl2vecstar_gda	train_csv	calibrated	zero overlap	10	4399	739.178910	55.001310	0.042570	0.008142	0.012364	0.005987	0.035841	0.011440	0.097822	0.016625	0.370489	0.030347	0.832156	0.012506
LinkGDA-pfs_owl2vecstar_gda	train_csv	calibrated	some overlap	10	4399	415.166027	54.295646	0.054142	0.009779	0.019303	0.009457	0.046525	0.010249	0.110857	0.018635	0.457301	0.038456	0.905829	0.012346
LinkGDA-pfs_owl2vecstar_gda	train_csv	calibrated	all	10	4399	596.307607	44.043010	0.047673	0.006443	0.015423	0.005289	0.040569	0.007481	0.103601	0.013038	0.408654	0.024017	0.864641	0.010014
LinkGDA-pfs_owl2vecstar_gda	train_csv	raw	zero overlap	10	4399	2696.172476	67.339079	0.001600	0.000338	0.000000	0.000000	0.000267	0.000843	0.001618	0.001395	0.027147	0.010118	0.387182	0.015311
LinkGDA-pfs_owl2vecstar_gda	train_csv	raw	some overlap	10	4399	650.328275	78.660519	0.060415	0.009542	0.029323	0.008480	0.057654	0.011604	0.116743	0.015433	0.357360	0.034070	0.852358	0.017886
