modality	projection	aggregation	setting	pool	pool_size	pairs	mr	mrr	h1	h3	h10	h100	auc
func_expr	owl2vecstar_gda	bma	raw	full	4749	409	4242.466993	0.000264	0.000000	0.000000	0.000000	0.002445	0.106683
func_expr	owl2vecstar_gda	bma	raw	unseen	350	409	114.356968	0.130192	0.075795	0.141809	0.239609	0.533007	0.675195
func_expr	owl2vecstar_gda	bma	calibrated	full	4749	409	1642.105134	0.032317	0.014670	0.029340	0.061125	0.200489	0.654359
func_expr	owl2vecstar_gda	bma	calibrated	unseen	350	409	92.667482	0.148579	0.090465	0.154034	0.268949	0.633252	0.737342
func_expr	owl2vecstar_gda	bmm	raw	full	4749	409	4209.295844	0.000275	0.000000	0.000000	0.000000	0.002445	0.113670
func_expr	owl2vecstar_gda	bmm	raw	unseen	350	409	118.180929	0.120024	0.070905	0.132029	0.210269	0.520782	0.664238
func_expr	owl2vecstar_gda	bmm	calibrated	full	4749	409	1724.207824	0.031328	0.017115	0.031785	0.056235	0.185819	0.637067
func_expr	owl2vecstar_gda	bmm	calibrated	unseen	350	409	105.259169	0.125799	0.070905	0.127139	0.239609	0.550122	0.701263
func_expr	owl2vecstar	bma	raw	full	4749	409	4202.053790	0.000257	0.000000	0.000000	0.000000	0.000000	0.115195
func_expr	owl2vecstar	bma	raw	unseen	350	409	110.699267	0.136504	0.083130	0.134474	0.254279	0.562347	0.685675
func_expr	owl2vecstar	bma	calibrated	full	4749	409	1688.850856	0.026358	0.012225	0.026895	0.048900	0.146699	0.644513
func_expr	owl2vecstar	bma	calibrated	unseen	350	409	85.506112	0.143273	0.090465	0.134474	0.251834	0.672372	0.757862
func_expr	owl2vecstar	bmm	raw	full	4749	409	4136.070905	0.000274	0.000000	0.000000	0.000000	0.000000	0.129092
func_expr	owl2vecstar	bmm	raw	unseen	350	409	113.843521	0.126626	0.075795	0.124694	0.227384	0.550122	0.676666
func_expr	owl2vecstar	bmm	calibrated	full	4749	409	1626.542787	0.031606	0.014670	0.031785	0.053790	0.154034	0.657636
func_expr	owl2vecstar	bmm	calibrated	unseen	350	409	99.288509	0.129784	0.073350	0.129584	0.232274	0.613692	0.718371
func	owl2vecstar_gda	bma	raw	full	4749	409	4197.083130	0.000272	0.000000	0.000000	0.000000	0.002445	0.116242
func	owl2vecstar_gda	bma	raw	unseen	350	409	102.347188	0.132099	0.085575	0.129584	0.215159	0.601467	0.709607
func	owl2vecstar_gda	bma	calibrated	full	4749	409	1077.943765	0.052022	0.024450	0.048900	0.102689	0.312958	0.773179
func	owl2vecstar_gda	bma	calibrated	unseen	350	409	74.476773	0.159937	0.085575	0.168704	0.317848	0.733496	0.789465
func	owl2vecstar_gda	bmm	raw	full	4749	409	4135.212714	0.000294	0.000000	0.000000	0.000000	0.002445	0.129273
func	owl2vecstar_gda	bmm	raw	unseen	350	409	107.251834	0.124788	0.078240	0.129584	0.205379	0.579462	0.695553
func	owl2vecstar_gda	bmm	calibrated	full	4749	409	1146.836186	0.042708	0.022005	0.034230	0.073350	0.286064	0.758670
func	owl2vecstar_gda	bmm	calibrated	unseen	350	409	83.591687	0.130747	0.066015	0.124694	0.264059	0.672372	0.763348
func	owl2vecstar	bma	raw	full	4749	409	4114.100244	0.000267	0.000000	0.000000	0.000000	0.000000	0.133719
func	owl2vecstar	bma	raw	unseen	350	409	108.618582	0.122340	0.068460	0.129584	0.212714	0.581907	0.691637
func	owl2vecstar	bma	calibrated	full	4749	409	1215.454768	0.051063	0.024450	0.056235	0.090465	0.283619	0.744218
func	owl2vecstar	bma	calibrated	unseen	350	409	78.779951	0.147293	0.075795	0.156479	0.286064	0.701711	0.777135
func	owl2vecstar	bmm	raw	full	4749	409	3994.432763	0.000307	0.000000	0.000000	0.000000	0.000000	0.158923
func	owl2vecstar	bmm	raw	unseen	350	409	107.586797	0.124542	0.070905	0.127139	0.227384	0.594132	0.694594
func	owl2vecstar	bmm	calibrated	full	4749	409	1199.511002	0.049306	0.022005	0.048900	0.092910	0.276284	0.747576
func	owl2vecstar	bmm	calibrated	unseen	350	409	84.158924	0.135734	0.075795	0.127139	0.254279	0.684597	0.761722
